1388476802, CNN, 3, 2
1388505601, CNN, 3, 2
1388534402, CNN, 4, 4
1388563201, CNN, 3, 4
1388592001, CNN, 4, 5
1388620801, CNN, 3, 4
1388649601, CNN, 1, 4
1388678401, CNN, 2, 4
1388707201, CNN, 3, 5
1388736001, CNN, 4, 4
1388764801, CNN, 6, 3
1388793601, CNN, 5, 3
1388822401, CNN, 5, 3
1388851201, CNN, 5, 4
1388880001, CNN, 5, 4
1388908801, CNN, 5, 4
1388937602, CNN, 4, 4
1388966402, CNN, 4, 4
1388995201, CNN, 5, 4
1389024001, CNN, 6, 2
1389052801, CNN, 5, 2
1389081601, CNN, 3, 3
1389110401, CNN, 2, 4
1389139201, CNN, 1, 4
1389168001, CNN, 2, 4
1389196801, CNN, 4, 2
1389225601, CNN, 5, 2
1389254401, CNN, 6, 3
1389283201, CNN, 6, 4
1389312001, CNN, 5, 4
1389340802, CNN, 6, 3
1389369601, CNN, 7, 4
1389398402, CNN, 7, 3
1389427201, CNN, 8, 4
1389456001, CNN, 7, 4
1389484801, CNN, 7, 4
1389513601, CNN, 4, 4
1389542401, CNN, 5, 5
1389571201, CNN, 8, 5
1389600001, CNN, 8, 5
1389628801, CNN, 8, 6
1389657601, CNN, 4, 3
1389686401, CNN, 6, 4
1389715202, CNN, 4, 4
1389744001, CNN, 6, 3
1389772801, CNN, 6, 3
1389801601, CNN, 5, 2
1389830401, CNN, 4, 2
1389859201, CNN, 7, 2
1389888001, CNN, 4, 2
1389916801, CNN, 2, 2
1389945601, CNN, 5, 3
1389974401, CNN, 3, 4
1390003202, CNN, 3, 0
1390032001, CNN, 3, 1
1390060801, CNN, 7, 1
1390089601, CNN, 9, 2
1390118402, CNN, 8, 0
1390147201, CNN, 5, 0
1390176001, CNN, 5, 0
1390204801, CNN, 5, 2
1390233601, CNN, 6, 1
1390262401, CNN, 6, 0
1390291202, CNN, 5, 0
1390320001, CNN, 5, 0
1390348802, CNN, 4, 1
1390377602, CNN, 4, 1
1390406401, CNN, 4, 1
1390435201, CNN, 4, 2
1390464001, CNN, 3, 2
1390492801, CNN, 2, 3
1390521601, CNN, 3, 2
1390550401, CNN, 3, 2
1390579201, CNN, 5, 0
1390608001, CNN, 5, 0
1390636802, CNN, 8, 1
1390665601, CNN, 6, 1
1390694401, CNN, 8, 1
1390723201, CNN, 9, 1
1390752001, CNN, 8, 2
1390780802, CNN, 5, 2
1390809601, CNN, 4, 3
1390838402, CNN, 4, 3
1390867201, CNN, 5, 2
1390896001, CNN, 7, 1
1390924801, CNN, 9, 3
1390953601, CNN, 5, 2
1390982401, CNN, 3, 3
1391011201, CNN, 2, 3
1391040001, CNN, 2, 3
1391068801, CNN, 6, 3
1391097602, CNN, 9, 0
1391126401, CNN, 7, 0
1391155201, CNN, 5, 1
1391184001, CNN, 8, 2
1391212801, CNN, 7, 2
1391241601, CNN, 6, 3
1391270401, CNN, 6, 3
1391299202, CNN, 6, 3
1391328001, CNN, 9, 3
1391356801, CNN, 9, 4
1391385601, CNN, 8, 3
1391414402, CNN, 8, 3
1391443202, CNN, 6, 0
1391472001, CNN, 5, 1
1391500801, CNN, 6, 1
1391529601, CNN, 9, 1
1391558401, CNN, 8, 0
1391587201, CNN, 7, 0
1391616002, CNN, 6, 0
1391644801, CNN, 7, 1
1391673601, CNN, 9, 1
1391702401, CNN, 7, 2
1391731202, CNN, 6, 2
1391760001, CNN, 7, 1
1391788801, CNN, 7, 2
1391817601, CNN, 8, 2
1391846401, CNN, 6, 2
1391875201, CNN, 8, 2
1391904001, CNN, 8, 2
1391932801, CNN, 7, 1
1391961601, CNN, 8, 1
1391990401, CNN, 5, 1
1392019201, CNN, 6, 1
1392048002, CNN, 6, 1
1392076801, CNN, 11, 2
1392105601, CNN, 9, 2
1392134401, CNN, 6, 1
1392163201, CNN, 4, 1
1392192001, CNN, 4, 1
1392220801, CNN, 6, 2
1392249601, CNN, 6, 1
1392278401, CNN, 4, 1
1392307201, CNN, 5, 1
1392336001, CNN, 4, 2
1392364801, CNN, 7, 2
1392393601, CNN, 9, 1
1392422401, CNN, 5, 2
1392451202, CNN, 5, 2
1392480001, CNN, 5, 1
1392508801, CNN, 5, 1
1392537601, CNN, 4, 1
1392566401, CNN, 5, 2
1392595201, CNN, 0, 0
1392624001, CNN, 7, 2
1392652801, CNN, 8, 2
1392681601, CNN, 8, 1
1392710401, CNN, 8, 2
1392739201, CNN, 6, 2
1392768001, CNN, 6, 1
1392796801, CNN, 7, 1
1392825602, CNN, 7, 1
1392854401, CNN, 4, 2
1392883201, CNN, 5, 2
1392912001, CNN, 7, 3
1392940801, CNN, 6, 3
1392969601, CNN, 10, 3
